step,transactionType,amount,initiator,oldBalInitiator,newBalInitiator,recipient,oldBalRecipient,newBalRecipient,isFraud
65,TRANSFER,18121.98,4251822106706232,4859621.86,4841499.88,4037533641984801,23795.04,41917.02,0
41,DEPOSIT,105462.76,4409271508181738,4505505.11,4610967.87,61-0007655,97397.35,97397.35,0
127,TRANSFER,39246.31,4360579409293775,1418990.65,1379744.34,4904942044067710,134020.81,173267.12,1
29,TRANSFER,42289.9,4210469501637180,2671271.06,2628981.16,4167790825993378,42359.92,84649.82,0
124,TRANSFER,17259.03,4197201698266276,3586965.4,3569706.37,4275853117454845,98396.93,115655.95,0
35,WITHDRAWAL,82724.12,4722823644311510,3686016.94,3603292.83,31-0003260,85366.89,85366.89,0
18,DEPOSIT,80537.24,4608349952294733,2794214.64,2874751.88,24-0009932,36316.34,36316.34,0
17,PAYMENT,11055.05,4492859724614231,2614099.12,2603044.07,50-0004250,15191.86,26246.91,0
81,TRANSFER,19923.35,4463960990315712,2560242.44,2540319.09,4037287546561277,0.0,19923.35,0
18,WITHDRAWAL,283105.07,4649534403477349,4509722.31,4226617.24,39-0000465,14045.3,14045.3,0
4,TRANSFER,16886.39,4190226585548863,-113322.82,-130209.21,4050280505185081,35381.22,52267.6,0
20,PAYMENT,3384.81,4596875865102591,4193597.97,4190213.17,90-0008466,49193.14,52577.94,0
54,TRANSFER,17062.9,4669128648178054,4301633.07,4284570.17,4647259096510279,0.0,17062.9,0
124,TRANSFER,40848.2,4154548974739942,741596.4,700748.2,4663294594526864,156576.95,197425.15,0
14,DEPOSIT,60695.11,4076720704379845,2955167.67,3015862.78,36-0003824,3472.52,3472.52,0
41,DEPOSIT,122429.13,4652277605659421,3263881.44,3386310.57,74-0005796,126910.07,126910.07,0
72,PAYMENT,596.16,4562035317742771,2999711.48,2999115.32,45-0005427,172868.67,173464.83,0
139,PAYMENT,596.69,4904983447264991,3751050.49,3750453.79,34-0007737,127551.05,128147.75,0
128,TRANSFER,17005.96,4903753579697024,1681941.97,1664936.01,4163290038677334,90830.23,107836.19,0
46,PAYMENT,732.25,4885094921719261,3502387.47,3501655.22,21-0008728,206096.67,206828.91,0
128,PAYMENT,566.9,4842280862349760,2815227.32,2814660.42,71-0000399,121666.36,122233.26,0
38,DEPOSIT,207168.73,4471592823799737,3901126.04,4108294.78,37-0003755,59044.32,59044.32,0
58,PAYMENT,574.15,4105894211137007,2682683.16,2682109.01,04-0007447,119281.56,119855.71,0
22,TRANSFER,24741.79,4189195919430572,4640873.7,4616131.9,4101442198879813,34566.84,59308.64,0
97,TRANSFER,16832.67,4522125065946119,2665866.82,2649034.15,4572958283212065,16825.05,33657.71,0
136,WITHDRAWAL,89697.29,4654047633050507,5339149.21,5249451.92,99-0005019,178591.41,178591.41,0
16,WITHDRAWAL,73504.73,4914668056041503,3592712.16,3519207.43,01-0004204,29185.15,29185.15,0
133,TRANSFER,27378.0,4386128047777359,2411603.51,2384225.5,4184077235509682,0.0,27378.0,1
124,PAYMENT,642.4,4703617696724684,1806107.37,1805464.98,40-0006059,77439.34,78081.73,0
130,PAYMENT,589.88,4286751296656106,3198836.31,3198246.43,87-0006555,143379.51,143969.4,0
120,PAYMENT,560.63,4944598347926200,284491.23,283930.61,85-0008331,124950.92,125511.54,0
26,PAYMENT,533.57,4004401419393325,3939957.49,3939423.92,06-0007141,52533.67,53067.24,0
10,DEPOSIT,146376.38,4616904317007392,3104325.93,3250702.31,87-0002050,1658.27,1658.27,0
11,DEPOSIT,135614.19,4326703347960302,1393503.63,1529117.83,01-0004106,5760.2,5760.2,0
30,PAYMENT,568.8,4346132133010534,2949046.19,2948477.39,92-0007501,132388.23,132957.03,0
55,PAYMENT,549.26,4783350302902790,529300.08,528750.81,53-0008191,216650.19,217199.45,0
47,PAYMENT,540.54,4393445117088074,3856618.35,3856077.8,42-0001829,69197.96,69738.5,0
22,WITHDRAWAL,135318.84,4538812829354035,3456994.99,3321676.16,13-0003274,67272.64,67272.64,0
42,WITHDRAWAL,157615.82,4673733912564345,2941927.63,2784311.81,63-0008938,58660.21,58660.21,0
115,TRANSFER,17572.83,4577648876473118,931591.04,914018.21,4060312262465212,0.0,17572.83,1
103,PAYMENT,502.3,4702053093840470,648675.55,648173.24,74-0006655,116723.58,117225.89,0
36,DEPOSIT,110033.64,4915762330683138,2660145.04,2770178.68,23-0009379,68776.7,68776.7,0
135,TRANSFER,16919.78,4024218063671608,3856308.85,3839389.07,4286559655915298,142396.03,159315.81,0
72,TRANSFER,23579.12,4070969692318804,3357468.52,3333889.4,4739451936611727,16896.95,40476.07,0
31,TRANSFER,19769.43,4694628032070790,4634277.3,4614507.87,4103277803430554,0.0,19769.43,0
112,TRANSFER,17259.03,4525777544109631,2988412.59,2971153.56,4190792029083254,16908.07,34167.09,1
133,DEPOSIT,93773.26,4903753579697024,1607638.02,1701411.28,71-0008210,113720.46,113720.46,0
19,DEPOSIT,83421.69,4598030992251311,2832647.74,2916069.44,21-0005477,61494.21,61494.21,0
16,DEPOSIT,269465.06,4011902475707713,4028307.91,4297772.97,30-0004048,24370.35,24370.35,0
11,DEPOSIT,172434.42,4389087907689624,952634.94,1125069.36,12-0002532,3511.78,3511.78,0
104,TRANSFER,40116.9,4592163126812850,1874464.54,1834347.64,4896325932786718,0.0,40116.9,0
72,TRANSFER,21103.99,4298981670192099,2671856.2,2650752.21,4476631006535602,0.0,21103.99,0
12,TRANSFER,544499.91,4252835235196918,4458245.02,3913745.11,4172844585083285,463561.82,1008061.73,0
45,PAYMENT,496.35,4314565016893989,3511557.26,3511060.91,13-0009751,80612.55,81108.9,0
115,TRANSFER,16857.65,4673902080046241,1995547.93,1978690.28,4014348749447750,183095.27,199952.92,1
96,PAYMENT,599.11,4095433743586407,2205338.4,2204739.29,12-0000010,151126.24,151725.35,0
17,DEPOSIT,205066.97,4969526797868556,981022.81,1186089.78,48-0007883,610.29,610.29,0
27,PAYMENT,549.85,4226405999935035,2965871.34,2965321.49,65-0007338,31643.08,32192.94,0
18,DEPOSIT,43067.41,4444652279262244,4076760.37,4119827.78,21-0006126,77487.66,77487.66,0
108,TRANSFER,24711.79,4384187483562925,2267648.39,2242936.6,4754930627055997,56604.96,81316.74,0
13,DEPOSIT,220366.58,4606774781741657,3505394.92,3725761.5,74-0006491,13950.02,13950.02,0
56,PAYMENT,598.6,4378081423942388,2528873.48,2528274.88,03-0008038,107319.78,107918.38,0
51,TRANSFER,17443.62,4685700039192959,3232633.73,3215190.12,4021725635039414,60444.19,77887.8,0
88,PAYMENT,546.2,4654483842537754,3118297.04,3117750.84,92-0000945,53809.29,54355.49,0
57,PAYMENT,496.12,4576986371368909,3588498.58,3588002.46,37-0009522,47097.3,47593.41,0
35,PAYMENT,6588.29,4177655828082065,4405505.58,4398917.29,59-0001564,138793.99,145382.29,0
63,TRANSFER,40192.88,4591592291629510,1724296.92,1684104.04,4501407196167848,74064.67,114257.55,1
3,PAYMENT,533.57,4232280485905012,-20706.17,-21239.74,56-0003490,1154.29,1687.86,0
49,PAYMENT,619.38,4263524876779334,3251295.97,3250676.6,24-0001765,241355.53,241974.91,0
94,DEPOSIT,85152.56,4643454043056674,2464195.8,2549348.36,75-0002107,185614.5,185614.5,0
57,TRANSFER,19642.24,4345351005547578,4187609.86,4167967.62,4652520098644271,0.0,19642.24,1
94,PAYMENT,3409.16,4779013371563747,2885386.61,2881977.46,21-0000594,125944.56,129353.72,0
46,DEPOSIT,155099.64,4044371317629504,2824262.8,2979362.44,46-0001620,191508.43,191508.43,0
17,WITHDRAWAL,46768.02,4928551612804552,3102418.1,3055650.08,80-0006385,13616.79,13616.79,0
59,PAYMENT,534.48,4642476951782117,1276147.18,1275612.7,30-0007207,83093.72,83628.2,0
36,TRANSFER,17084.69,4422915572796226,2673175.58,2656090.89,4245192035200502,0.0,17084.69,0
64,PAYMENT,544.03,4742301921249634,3348060.76,3347516.73,78-0006699,108086.18,108630.22,0
11,TRANSFER,415296.75,4367613990930785,2470304.55,2055007.8,4353927004809348,716282.47,1131579.21,0
59,TRANSFER,41940.4,4487727733746798,2154246.32,2112305.92,4171101602065626,34744.35,76684.75,1
88,TRANSFER,19896.02,4282344426684455,2575685.2,2555789.18,4999802252422351,17160.96,37056.98,0
75,PAYMENT,538.96,4783573936603092,937465.8,936926.84,99-0000045,183423.0,183961.96,0
9,DEPOSIT,300034.05,4295690989682103,499925.77,799959.82,65-0002227,3227.57,3227.57,0
56,TRANSFER,19220.28,4972332906416733,2803599.28,2784379.0,4225937640953141,63635.97,82856.25,0
129,PAYMENT,657.0,4077631595251895,294589.92,293932.93,26-0006351,72830.49,73487.49,0
25,TRANSFER,17651.28,4686708520594954,2547930.24,2530278.97,4411603610524882,56802.83,74454.11,0
12,PAYMENT,497.12,4036140910179153,932770.07,932272.95,85-0005364,18112.83,18609.95,0
65,PAYMENT,627.73,4039901127530083,2216863.06,2216235.33,95-0007594,61055.95,61683.68,0
119,DEPOSIT,167443.65,4748905334257747,3886311.78,4053755.42,02-0001818,236392.66,236392.66,0
8,DEPOSIT,87329.13,4129759659083462,195166.26,282495.39,54-0002800,1161.65,1161.65,0
96,PAYMENT,538.96,4699019463649044,2332595.72,2332056.76,81-0002207,95300.99,95839.95,0
16,TRANSFER,20144.72,4609583930731833,1584962.87,1564818.15,4240374298887390,0.0,20144.72,0
70,PAYMENT,560.39,4775196075903014,2830865.64,2830305.24,46-0008640,57347.72,57908.11,0
9,DEPOSIT,72692.88,4783015447608368,1264894.69,1337587.56,35-0001330,4106.11,4106.11,0
78,TRANSFER,16810.74,4755775857493239,2707764.85,2690954.11,4786453025825426,16857.65,33668.39,0
20,TRANSFER,73624.07,4944081573444040,1831054.31,1757430.23,4098680091526628,17108.16,90732.24,0
19,TRANSFER,17005.96,4403647063808284,2307760.95,2290754.99,4127721234048479,88924.99,105930.95,0
18,DEPOSIT,91441.06,4040130315576768,2808377.51,2899818.57,90-0005152,22875.38,22875.38,0
120,PAYMENT,547.31,4668208732435221,531873.55,531326.24,10-0005445,198553.65,199100.96,0
97,PAYMENT,536.19,4325743194817818,3951414.16,3950877.98,51-0009381,146525.59,147061.78,0
43,DEPOSIT,16729.98,4784587490507217,1705607.37,1722337.35,91-0005353,119390.19,119390.19,0
136,PAYMENT,609.39,4663423098782695,2492908.46,2492299.07,52-0005565,195432.16,196041.55,0
123,PAYMENT,637.09,4887597539975883,1431147.77,1430510.68,46-0007041,157690.58,158327.66,0
98,PAYMENT,778.66,4341562297159112,392512.09,391733.42,61-0002173,125453.72,126232.38,0
20,DEPOSIT,220439.61,4953274896163086,3236947.15,3457386.77,60-0002625,24611.83,24611.83,0
10,DEPOSIT,285211.91,4541853101763167,2614831.78,2900043.69,66-0008401,9204.62,9204.62,0
89,TRANSFER,25580.6,4849893429992709,2849757.85,2824177.25,4943304141702231,108546.01,134126.61,0
11,PAYMENT,609.99,4554063324201219,3299446.25,3298836.26,72-0005994,17121.09,17731.08,0
27,PAYMENT,505.79,4649764434711826,2020282.67,2019776.88,50-0001396,21588.11,22093.9,0
19,PAYMENT,12283.15,4486200023078703,4522079.67,4509796.52,50-0006561,37156.88,49440.03,0
136,WITHDRAWAL,130901.92,4954798999319616,3673169.86,3542267.94,39-0003712,182297.65,182297.65,0
139,WITHDRAWAL,193439.62,4233378855012622,2810333.87,2616894.25,21-0000594,180379.77,180379.77,0
78,TRANSFER,86194.04,4144701465587469,-87210.19,-87210.19,4904627410070691,0.0,0.0,0
